"","MarkerX","MarkerZ","SecondX","SecondZ","UserX","UserZ","ErrorX","ErrorY","ErrorMag","MarkerTime","TrialTime","Landmark","AngleError","Interface"
"199",-1.2,-1.8,0.3,-1.9,-1.5,-0.9,-0.3,0.9,0.948683298050514,4.2338,10.656,"L",25.2405292647868,0
"200",1.2,-1.8,-1.4,-0.8,0.9,-1.3,-0.3,0.5,0.58309518948453,4.1943,9.3276,"L",8.7727372975294,0
"201",0,-2.1,-1.2,0,0.3,-1.8,0.3,0.3,0.424264068711929,3.8612,9.8168,"L",10.0606897953229,0
"202",1.2,1.8,-1.1,0.8,0.7,1.6,-0.5,-0.2,0.53851648071345,3.4178,8.9067,"L",0.463923298626246,0
"203",1.2,-1.8,1.1,0.2,1.4,-1.9,0.2,-0.0999999999999999,0.223606797749979,3.22839999999999,9.6506,"L",5.26769712804407,0
"204",0,2.1,-1.1,1.7,0.3,2.4,0.3,0.3,0.424264068711928,2.2191,8.6302,"L",6.58194465517802,0
"205",-1.2,-1.8,0,-1.9,-1.5,-2.1,-0.3,-0.3,0.424264068711929,2.78222,11.19333,"N",12.3582850593177,0
"206",-1.5,0,-0.3,1.4,-0.8,-0.8,0.7,-0.8,1.06301458127347,4.18466,11.94021,"N",27.7970285797177,0
"207",-1.2,-1.8,-0.9,0.2,-0.4,-2,0.8,-0.2,0.824621125123532,4.20524,10.69413,"N",21.3350316752349,0
"208",1.2,-1.8,-0.1,-1.9,1.4,-1.9,0.2,-0.0999999999999999,0.223606797749979,2.70525000000001,9.48303,"N",4.39870535499544,0
"209",-1.2,-1.8,0.5,-1.7,-1.2,-1.7,0,0.1,0.1,2.70435999999999,9.8377,"N",3.3664606634298,0
"210",-1.5,0,0.5,-1.1,-1.6,-0.5,-0.1,-0.5,0.509901951359279,2.9851,8.8407,"N",12.8653978420502,0
"211",0,-2.1,1,0.5,0,-1.9,0,0.2,0.2,3.4457,9.13459999999999,"N",1.58235392261878,0
"212",1.2,-1.8,-1.3,-1.1,0.7,-2.1,-0.5,-0.3,0.58309518948453,2.66829999999999,9.11279999999999,"N",10.9228047198692,0
"213",0,-2.1,1.2,-0.5,0.3,-2.1,0.3,0,0.3,2.56899999999999,9.23570000000001,"N",7.51214410305265,0
"214",1.5,0,-1.1,-1,1.3,-0.4,-0.2,-0.4,0.447213595499958,2.9127,8.77940000000001,"N",7.00126755749535,0
"215",-1.2,-1.8,1.1,-0.2,-0.6,-1.8,0.6,0,0.6,3.02070000000001,8.46510000000001,"N",8.43980625411475,0
"216",-1.5,0,1.1,0.5,-1,-0.4,0.5,-0.4,0.640312423743285,3.1788,7.6455,"N",12.3130634589894,0
"217",1.2,-1.8,0.6,0.8,2.7,-1.3,1.5,0.5,1.58113883008419,5.73914000000001,12.85025,"L",32.0053832080835,0
"218",-1.2,1.8,-1.1,-0.4,-1.9,2.7,-0.7,0.9,1.14017542509914,5.16283,11.17394,"L",11.867731897566,0
"219",0,-2.1,0.9,-1.2,-0.1,-2,-0.1,0.1,0.14142135623731,5.15067999999999,11.484,"L",6.34019174590997,0
"220",-1.2,1.8,-0.1,2.3,-1.2,1.8,0,0,0,4.51448000000001,9.93669,"L",8.53773646251594e-07,0
"221",0,2.1,-0.6,-0.8,-1.7,2.6,-1.7,0.5,1.77200451466693,8.789,15.4445,"L",29.6172889374464,0
"222",-1.5,0,-0.3,1.4,-1.8,0.3,-0.3,0.3,0.424264068711929,7.732,14.1654,"L",13.1448676175507,0
"223",-1.2,1.8,-1.4,0.2,-1.5,1.6,-0.3,-0.2,0.360555127546399,3.1883,8.56610000000001,"L",11.2106331288767,0
"224",-1.2,-1.8,0.1,0.7,-0.9,-1.7,0.3,0.1,0.316227766016838,6.51319999999998,11.1576,"L",4.85456667823673,0
"225",0,2.1,0.5,-0.7,0.2,2.3,0.2,0.2,0.282842712474619,5.46340000000001,10.4522,"L",4.41407851789826,0
"226",-1.2,-1.8,-1,0.5,-1.8,-1.9,-0.6,-0.0999999999999999,0.608276253029822,3.99600000000001,10.2071,"L",13.4652080948117,0
"227",1.2,1.8,-1.4,0.8,1.3,3.6,0.1,1.8,1.80277563773199,3.74360000000001,10.2547,"L",25.0041156505881,0
"228",-1.2,1.8,1.4,1,-1.2,2,0,0.2,0.2,4.28579999999999,9.94129999999998,"L",3.93478205636954,0
"229",1.2,1.8,0,-0.6,1.4,2,0.2,0.2,0.282842712474619,2.89782,8.14227,"N",1.73570458892857,0
"230",-1.2,1.8,-0.5,-0.5,-2.1,1.7,-0.9,-0.1,0.905538513813742,3.04949,10.17171,"N",19.0998603209566,0
"231",1.2,-1.8,1.1,0.4,2,-2,0.8,-0.2,0.824621125123532,2.16774,8.80107,"N",17.9534830170836,0
"232",0,2.1,0.9,1.3,-0.2,2.1,-0.2,0,0.2,1.81533999999999,8.54868,"N",5.60616595146658,0
"233",-1.2,-1.8,0.4,-2.2,-1,-1.6,0.2,0.2,0.282842712474619,2.47644,8.18754,"N",9.16234704572175,0
"234",1.2,-1.8,-1,-1.2,0.8,-2.1,-0.4,-0.3,0.5,2.2671,7.12269999999999,"N",11.3099324740202,0
